Süre	1. Bölge	2. Bölge	3. Bölge	Isýnma	Soðutma 
(Sn)	(ºC)		(ºC)		(ºC)		(ºC)	(ºC)
       	Mavi		Kýrmýzý		Yeþil		Turuncu	Sarý
975	59		43		54		79	23
976	59		43		54		79	23
977	59		43		54		79	23
978	60		43		54		79	23
979	60		43		54		79	23
980	60		43		54		80	23
981	60		44		54		80	23
982	60		44		54		80	23
983	60		44		54		80	23
984	60		44		54		80	23
985	60		44		54		80	23
986	60		44		54		80	23
987	60		44		54		80	23
988	61		44		55		80	23
989	61		44		55		80	23
990	61		44		55		80	23
991	61		44		55		80	23
992	61		44		55		81	23
993	61		44		55		81	23
994	61		44		55		81	23
995	61		44		55		81	23
996	61		44		55		81	23
997	61		44		56		81	23
998	61		44		56		82	23
999	61		44		56		82	23
1000	62		44		56		82	23
1001	62		45		56		82	23
1002	62		45		56		82	23
1003	62		45		56		82	23
1004	62		45		56		82	23
1005	62		45		56		83	23
1006	62		45		57		83	23
1007	62		45		57		83	23
1008	62		45		57		83	23
1009	62		45		57		83	23
1010	63		45		57		83	23
1011	63		45		57		83	23
1012	63		45		57		83	23
1013	63		45		57		83	23
1014	63		45		57		83	23
1015	63		45		57		84	23
1016	63		45		57		84	23
1017	63		45		57		84	23
1018	63		45		57		84	23
1019	63		45		57		84	23
1020	63		46		58		84	23
1021	63		46		58		84	23
1022	63		46		58		84	23
1023	64		46		58		84	23
1024	64		46		58		85	23
1025	64		46		58		85	23
1026	64		46		58		85	23
1027	64		46		58		85	23
1028	64		46		58		85	23
1029	64		46		58		86	23
1030	64		46		58		86	23
1031	64		46		58		86	23
1032	64		46		59		86	23
1033	64		46		59		86	23
1034	65		46		59		86	23
1035	65		46		59		86	24
1036	65		46		59		86	24
1037	65		46		59		86	24
1038	65		46		59		87	24
1039	65		47		59		87	24
1040	65		47		59		87	24
1041	65		47		59		87	24
1042	65		47		60		87	24
1043	65		47		60		87	24
1044	65		47		60		87	24
1045	65		47		60		88	24
1046	65		47		60		88	24
1047	65		47		60		88	24
1048	66		47		60		88	24
1049	66		47		60		88	24
1050	66		47		60		88	24
1051	66		47		60		88	24
1052	66		47		60		88	24
1053	66		47		60		88	24
1054	66		47		60		88	24
1055	66		47		61		89	24
1056	66		48		61		89	24
1057	66		48		61		89	24
1058	66		48		61		89	24
1059	67		48		61		89	24
1060	67		48		61		89	24
1061	67		48		61		89	24
1062	67		48		61		89	24
1063	67		48		61		89	24
1064	67		48		61		90	24
1065	67		48		61		90	24
1066	67		48		61		90	24
1067	67		48		62		90	24
1068	67		48		62		90	24
1069	67		48		62		90	24
1070	67		48		62		90	24
1071	67		48		62		90	24
1072	68		48		62		90	24
1073	68		48		62		91	24
1074	68		48		62		91	24
1075	68		48		62		91	24
1076	68		48		62		91	24
1077	68		49		63		91	24
1078	68		49		63		91	24
1079	68		49		63		91	24
1080	68		49		63		91	24
1081	69		49		63		91	24
1082	69		49		63		92	24
1083	69		49		63		92	24
1084	69		49		63		92	24
1085	69		49		63		92	24
1086	69		49		63		92	24
1087	69		49		63		92	24
1088	69		49		63		92	24
1089	69		49		63		92	25
1090	69		49		63		93	25
1091	69		49		64		93	25
1092	69		49		64		93	25
1093	69		49		64		93	25
1094	70		49		64		93	25
1095	70		49		64		93	25
